date,stock_id,type,value,origin_name,report,stock_name,industry
2020-06-30,6508,OperatingExpenses,68350000.0,營業費用,IncomeStatement,惠光,農業科技業
2020-06-30,6508,OTHNOE,1093000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2020-06-30,6508,OperatingIncome,97799000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,TotalNonoperatingIncomeAndExpense,-11787000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2020-06-30,6508,OtherComprehensiveIncome,-6340000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,EquityAttributableToOwnersOfParent,60694000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2020-09-30,6508,PreTaxIncome,44760000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,TAX,11424000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,IncomeFromContinuingOperations,33336000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,IncomeAfterTaxes,33336000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,TotalConsolidatedProfitForThePeriod,40615000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2020-09-30,6508,EPS,0.39,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,Revenue,387475000.0,營業收入,IncomeStatement,惠光,農業科技業
2020-09-30,6508,CostOfGoodsSold,279099000.0,營業成本,IncomeStatement,惠光,農業科技業
2020-09-30,6508,GrossProfit,108376000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
2020-09-30,6508,OperatingExpenses,53237000.0,營業費用,IncomeStatement,惠光,農業科技業
2020-09-30,6508,OTHNOE,1164000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2020-09-30,6508,OperatingIncome,56303000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,TotalNonoperatingIncomeAndExpense,-11543000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2020-09-30,6508,OtherComprehensiveIncome,7279000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2020-09-30,6508,EquityAttributableToOwnersOfParent,33336000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2020-12-31,6508,PreTaxIncome,1828000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,TAX,-4622000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,IncomeFromContinuingOperations,6450000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,IncomeAfterTaxes,6450000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,TotalConsolidatedProfitForThePeriod,25142000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2020-12-31,6508,EPS,0.07,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2020-12-31,6508,Revenue,306590000.0,營業收入,IncomeStatement,惠光,農業科技業
2020-12-31,6508,CostOfGoodsSold,247964000.0,營業成本,IncomeStatement,惠光,農業科技業
2020-12-31,6508,GrossProfit,58626000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
